image_id,label,tags,fmt,sel,sel_kind,sel_src,in_p1,in_p2,n_p1,n_p2,p1,p2,kinds,ocr,sec,two,et,file,pred,long,strat,stage
000004,2022-02-14,b,YYYY.MM.DD,2027-02-14,YYYY,erode3/p1@1024,False,False,1,1,2027-02-14,2027-02-14,YYYY,2004088-368 ||  ||  ||   ||   || N || BA O E NZ ||  || AE E || 1007 63508 E  || 20408-368 COP ||   E 4   EA     N || AE 87 E || 182 || 801007683508 FELE H1 ve2 ||   2040-368 COD ||    A   AL A     ||  8  || 18 || 010076683508 E  EL  VE2 || 00408368 || NN || 7 ||  ||  || NPA || E  NZ O  || 44447 || A,6.6,False,연도만틀림,000004.jpg,2027-02-14,4032,large,C 후보는 있는데 전부 오답(오독)
000022,2025-10-14,,YY.MM.DD,NONE-01-20,MMDD,erode2/p1@640,False,False,1,1,NONE-01-20,NONE-01-20,MMDD, ||  ESH SLOW BREAD 90 25.10.144X1.A1.F2 || 7 || 011214 0.005 motaue  Se || 0/20    || KIRIN H O SINC   PF1E || E2 ESH SLOW BREAD 25.10.141.A1.2 ||  so || 0121214 0.005 molaue In E e || 7020    ||  HIRINN HH SINCE  2 119 || a ESH SLOW BREADD 25.1041 A1.2 || o || N312140005 So IN  3e || 10120     || ,4.0,False,전부틀림,000022.jpg,NONE-01-20,4032,large,C 후보는 있는데 전부 오답(오독)
000024,2025-10-11,,YY.MM.DD,NONE,,,False,False,0,0,,,, || EONN || W || 1o2 || ROH En 8 70 C || 18.8    0.002    1 480 kcal  1 ILC. ||  || EON || HR || 01o4 HOH En O  10 25.10.11731 5    || 18.8   20.002    1 480 kcal  OOI IOLIC. ||  ||  || R || oo R En o 6 or 25.10.1122 F1 C || 18.8  10.002   1 480 cal  01 MC || RN || EONN || 21 || o0 L || IOH 3 25 10.,12.1,False,NONE,000024.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000032,2026-03-22,,YYYY.MM.DD,2026-03-21,YYYY,p2,False,False,1,1,2025-03-NONE,2026-03-21,YYYY,2025.03 B2 13:40 SS03 || 429804,0.9,False,일만틀림,000032.jpg,2026-03-21,4032,large,C 후보는 있는데 전부 오답(오독)
000042,2025-10-12,,YYYY.MM.DD,2025-10-02,YYYY,p2,False,False,1,1,2025-10-11,2025-10-02,YYYY,2025. 10.112. A31 || smarck,0.7,False,일만틀림,000042.jpg,2025-10-02,4032,large,C 후보는 있는데 전부 오답(오독)
000047,2027-04-14,,YYYY.MM.DD,2027-04-04,YYYY,p2,True,False,1,1,2027-04-14,2027-04-04,YYYY,19850499011231 || O.F. 87201 || IHAFCIA ||   || 2027.04.14 15:55,1.0,False,일만틀림,000047.png,2027-04-04,2556,large,B 1패스엔 있었는데 2패스가 지움
000054,2025-10-08,,YY.MM.DD,NONE,,,False,False,0,0,,,,UaO L || 01430 || 7125.10.08WE01 || 16 H14  1.124 k   || 0.56   1N7F059 || 7   || 014389 || MHI7IS  || 7125.10.08E 01 || 30.56   85F05  || D   || 04 || AHIZIRF || 7125.10.0E 01 || 8056  8 150 || Da  || 0143 || 725.10.08E01 || 16H14 1.124k  || 0.56   0971F05  || 7  || 014309 || JHI7I8I || 7125.10.08E,10.4,False,NONE,000054.jpg,NONE,4032,large,D 후보 없음(미검출/전부 미인식)
000056,2026-07-11,2,YYYY.MM.DD,2026-12-07,DMY4,p2,True,True,3,9,2025-07-12;2026-07-11;2026-12-07,2025-07-12;2026-07-11;2026-12-07,DMY4;YYYY,ZAn2the || OFLIE ||     0 028788    481 0 1055438016    AHI71E: 4 2025.07.12 2026.07.11 3 00  42 080-019-9194 OO  ||  || A 7712,4.3,True,월/일틀림,000056.jpg,2026-12-07,4032,large,A 2패스 후보에 정답 있음(선택 실패)
000059,2027-06-22,,YYYY.MM.DD,2022-06-22,YYMM_GLUE,p2,True,False,1,1,2027-06-22,2022-06-22,YYMM_GLUE,120 || 3 || or thre times. || Mo   || to bowl for est taste || 5.913014:418 0M1 0 A || 1. N..NI O4O7 LF07 0   ZTNNN LM4  ZM Z9  4  2027062 NE || 2-3H 0k Rinse cookedes || oyoup orcd I A ZE7 gaic orelicuoup. MTNNNHN N.NNI 0 04470 M  ZT   42N 07 000 20 C 202706.2 4    o  Make a coii th cooked MoH EN  ,7.8,False,연도만틀림,000059.jpg,2022-06-22,4032,large,B 1패스엔 있었는데 2패스가 지움
000064,2026-08-03,,YYYY.MM.DD,2025-08-03,YYYY,p2,False,False,1,1,2025-08-03,2025-08-03,YYYY,1 x07 || HO   || 2025 08.03.10:45 ||  EHALC,1.1,False,연도만틀림,000064.jpg,2025-08-03,4032,large,C 후보는 있는데 전부 오답(오독)
